name,lon,lat
Araras-SP,-47.3315076,-22.3277304
CasaBranca-SP,-47.0856897,-21.7712926
Corumbatai-SP,-47.6232221,-22.2229445
Descalvado-SP,-47.6202833,-21.9159354
Divinolandia-SP,-46.7395488,-21.6616122
Itirapina-SP,-47.8170462,-22.2567218
Mococa-SP,-47.0008934,-21.4739662
RioClaro-SP,-47.5651394,-22.4149023
SaoCarlos-SP,-47.883927,-21.980353
SaoJoaodaBoaVista-SP,-46.7953572,-21.9707138
SaoSebastiaodaGrama-SP,-46.9020937,-21.6023955
Tambau-SP,-47.27079,-21.7034017
VargemGrandedoSul-SP,-46.8917293,-21.8326774
